address,count
b0:26:80:d1:cf:0f,30
80:ea:96:f2:cc:76,30
b0:26:80:d1:d8:af,30
b0:26:80:d1:cf:0e,30
ac:44:f2:8c:e8:a8,30
ac:44:f2:8c:b0:e0,30
60:84:bd:de:7c:67,30
c0:25:a2:a7:2e:2a,30
60:84:bd:de:7c:60,30
3E0588ED-B074-0E75-CF27-8FD8719BC258,30
ac:44:f2:8c:e9:20,30
28:ac:9e:3e:b9:af,30
c0:06:c3:c0:b9:d3,30
80:ea:96:f2:cc:77,30
b0:c7:45:c9:0d:d5,30
10:27:f5:e3:50:97,30
c4:36:c0:e3:cc:3f,30
c4:36:c0:e3:cc:3e,30
c4:36:c0:e3:cc:38,30
b0:26:80:d1:d8:ae,30
28:ac:9e:3e:b9:ae,30
84:af:ec:a7:f2:b4,30
BBE44E4E-3BEA-1528-EFA4-7A324456043A,30
c0:25:a2:a7:2e:2b,30
c0:25:a2:a9:b1:4f,30
9A5F8A1B-3BD7-0A1B-99CE-D4B805F0FA27,30
c0:06:c3:c0:b9:d2,29
e8:4f:25:d3:9b:75,29
B43A23A2-9E71-C6E8-E077-47C1867CA41C,29
10E79AFE-4E98-6854-65EF-3E2C2D93DC46,29
5CF555D6-48CA-4ADC-9211-635182D7E387,29
e8:4f:25:d6:0e:45,29
8A50F6B1-3DB1-A85A-6ED9-343168E5E515,28
CB334F59-F065-7DAB-9C2B-5A3669B0BD26,28
5FAEC74A-B372-18CD-3464-305CD379F907,28
80324D1A-7A05-DCA2-D675-DF7AE48F80D0,28
1A6F6B1A-5B42-9260-9384-259F81E6E89C,28
51808EF8-2162-420F-731F-0817F82681B1,28
B29B9BDF-31B4-EFB5-9341-4823593885EA,28
25EEE710-D922-C8EB-84FC-60C776058272,28
CEEB922A-7DDE-46D0-CDC8-E7CDA8BD08A2,27
1667049A-7372-C30D-89B2-B1ECA12DB046,27
7D1D648C-8CED-928B-3483-B164419E75B2,27
497D108A-8000-60BF-9EC6-D425A99F01B2,27
D59D2354-372E-EC13-7BDA-49D8735505CC,26
2E69403D-0597-EAD1-3A45-239969C651B6,26
84:af:ec:86:f0:60,26
CB3FA815-792F-F093-ACFF-69B2FB6871CF,26
11568810-14EB-73E2-57A7-8E4F671044D2,26
0927D63B-9C1F-550F-2837-833C800C0015,26
91592F85-8583-F7D2-B20C-CF8314BB5E59,25
84:af:ec:86:f0:70,25
28:ac:9e:3e:b9:a0,25
AB7D83E5-7101-36F5-D2B4-668B2C9A7903,25
b0:c7:45:c9:0d:d0,25
04BAB474-320A-44CF-2E48-F6A57219ED08,25
13611532-E963-EE25-A8B6-448A5F64C501,25
7ACF5DA2-65CB-4119-12AB-22CBA8C09B29,25
E1BEC981-F150-F7B4-9462-855BE34E0B7F,25
99FC17B2-BBDE-A56A-E241-2F789956D915,24
b0:26:80:d1:cf:00,23
C1585FD6-BAD0-9CC9-A0DD-D6A5137C7C97,23
A1444613-FD08-5AB4-70DE-F1C849A324D5,22
8BDFFC3A-CAB9-9C5A-5F90-222316CF3FB3,22
62AD6CB1-240F-3D43-8405-33EC8BF3D7BB,22
0896FD2C-8A5B-89C7-99EA-A33F73198964,21
B779BA50-0B02-B6EB-F369-2E330AFC31F5,21
FA1B5EB7-9854-EF57-0011-9DAF510B3836,20
b0:26:80:d1:cf:01,20
E454F94D-9C6E-ECA1-85D2-014317A7A8E9,20
A1ED206E-338C-46F5-A589-35FC4E56E4FA,19
d0:40:ef:f9:f0:9d,19
28:ac:9e:3e:b9:a1,19
2EAED031-3590-344B-C4A8-89837A4F7FD1,19
E4449501-7A76-AA58-CC11-0D5292F8E06A,18
c4:36:c0:e3:cc:30,17
CF8CD542-9487-2D8C-1F4E-43B4A756C17F,17
F0571E8D-A7BA-A618-7C1F-9B5DE0708944,16
b0:26:80:d1:d8:a0,16
16:27:f5:e3:50:96,16
249C181E-96E7-D024-AD18-CEC7BE3C93E9,16
9F78548A-9526-975D-5327-2C4E18955E6B,16
6439E5F8-45A3-2BF9-A90F-2F5412EAD07E,16
A24CC2A3-FC82-437A-DA70-A30AFA2E6483,15
00:90:fe:f7:da:b4,15
A87224AC-4440-6421-23F3-8D88EE4F2949,14
FE156ECF-94AA-C7AE-6986-433F101573A6,14
28:ac:9e:3e:b1:8f,13
756C2E00-2EDF-F925-AFCF-51F8DC12B3B9,12
6A24D35D-35ED-06B5-B39A-EAD4365222EA,12
67FFA22E-F2BD-3665-AD1C-2ABCEC892E3B,11
8792153E-FDDA-84CC-BD7D-C8C6193F29A0,11
c0:25:a2:a8:01:23,10
00:90:fe:f7:da:b6,10
402B799D-D0B5-1828-8A38-5A7872AC004C,10
28:ac:9e:3e:b1:8e,10
c6:06:c3:c0:b9:d2,10
4c:32:75:c6:d3:a4,10
014E3480-8DCF-32C5-FB83-0FE3F9E647A1,10
E93AB3DA-6277-0FCF-F172-4C8891BDB8EA,10
7390391D-AA27-8830-875B-FDA1FE16BA66,10
8D85DC3F-F1EF-4CFB-E847-EC1D4E0EE582,9
c0:25:a2:a8:01:22,9
40234201-0248-FAD4-2893-17374C36AD8B,9
31F5A215-5EAD-CBC2-8330-E7B8F193D9E5,9
ACE72ECA-09A9-EAC6-1AF2-2E76BF660E4E,9
9e:ad:97:b9:a0:be,9
AF3BF79E-D90C-914D-A5A2-59CA303B2846,8
c4:3c:ea:3f:44:2a,8
c4:36:c0:e3:cc:37,8
D5AA8D74-3DBE-82D4-19CE-34AA4530CF30,7
8FA76E7C-0AA3-26FE-21C4-58CDEED4E8E9,7
3c:7c:3f:3e:71:44,7
934E5015-1188-46DC-D656-19F40EBAA913,6
00:24:a5:7b:aa:30,6
3A292ADA-B6CF-253F-2188-1D00821B2821,6
2FD35A34-4C5E-50DD-0EC1-636D6F5D6545,6
77E25248-68BD-55D5-353C-70A9B5BC4147,6
e8:4f:25:d6:2e:b9,6
10:27:f5:e3:50:96,6
32F31CC5-70F7-2C9C-C688-6996A985B386,6
FA3E01C8-BFD2-EEB6-4B65-3FE180426693,6
470BCD0E-4128-C60A-A81D-998F97C53329,5
DCB25614-9ADE-B1F7-5069-BE3843A94AC7,5
E6E3BBB0-08C4-E3BD-BB12-3A33DB89A060,5
28:ac:9e:3e:b1:80,5
5D513F40-4026-8A54-9A29-53EF657C550A,4
B7D877B4-8EBF-A152-4CB3-42721417111E,4
A8B90212-933E-55E6-900F-3061F77A9AA2,4
C43A9D69-523A-95DA-C4D0-C87F69B323E1,4
3926EA01-ED4F-1DDF-D9CE-1175F3DC3DD0,4
C273A7C0-D2CF-7033-9066-63DE621A6AF6,4
80280365-B20E-1CFF-B716-1AF288304351,4
D7CE3214-813E-2313-E821-80A6ECE54CA1,4
00:24:a5:7b:b2:80,3
c4:3c:ea:3f:44:23,3
4595A0A1-833D-74BD-EB56-11903B509213,3
d0:4f:58:52:f8:70,3
b0:26:80:d1:d8:a1,3
9DC43723-8F13-4ABC-C756-AFD6762A9883,3
98BD1E1D-667F-6465-F2C0-AD62408ADEE8,3
8A60BD70-3625-C7FC-E1BD-921F21A9665A,3
BB056977-A587-1AFB-A755-C463C98593B4,3
EC8DCE43-DC6A-E4ED-F9BC-72AFA2076DEE,3
c4:36:c0:e3:cc:36,3
00:1d:73:f8:87:60,3
d0:4f:58:52:f8:71,3
689CA3C7-F6AD-F0E3-FB12-028F237A817D,2
56FD416A-9251-4EA0-5301-2771D60880D3,2
4E19335A-5B9F-91CA-BF69-7D42F102E4B6,2
19EAFB13-EA93-23E9-E6C0-655693DBECAA,2
342E00F8-E4F1-632A-4734-AEED3A13A0A0,2
C7D801D0-6CB0-8BAC-5F66-74F8A1132E8D,2
A2FC8BDA-C457-A078-701D-0099353B74F3,2
3E7BD904-8603-77EF-8151-D4DE5FD6E78A,1
9625F34D-6128-F218-5EEE-01DD660E18F4,1
83AB0194-3262-9E1D-6868-780B68180A1F,1
ADDBD14C-381C-F9A0-BF37-82436789C84D,1
C201933F-D4D5-F4DC-D8A7-664D8E19A206,1
E58AC1CA-2F20-FDE0-4A7E-F62D63B12574,1
147905E6-DBA6-4729-80D1-0954BF3C2835,1
55A8B95C-73EA-2CF7-EF97-C5021547DBC3,1
E2854E25-9E68-F5CF-6731-32DB738120E5,1
37F37E93-8C04-5804-5DFD-54A6AA9A6F80,1
3FF4BAB7-D7C9-0747-7E92-8D1866BA1F42,1
0F4C2266-F258-AE69-BED7-541A8EA5EA24,1
8F5A1854-105C-1C14-654A-C41A11D30A12,1
FECC9580-0160-68F0-903C-B4B165AAB9CC,1
81B676A5-3FC1-6849-5959-416BD24DC854,1
88FB6197-8818-1B42-7D06-78F5B783097B,1
F21D8594-4FF2-A6F4-A7CA-32C757E60BB2,1
